start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4182 -135_0.236963|-120_0.236964|-105_0.237019|-90_0.237104|-75_0.237217|-60_0.237373|-45_0.237588|-30_0.237869|-15_0.228572|0_0.228934|15_0.22924|30_0.229479|45_0.229644|60_0.229732|75_0.229742|90_0.229673|105_0.229526|120_0.229305|135_0.229014|
[DEBUG] 4183 -135_0.236941|-120_0.236959|-105_0.237024|-90_0.237108|-75_0.237211|-60_0.237352|-45_0.237551|-30_0.237819|-15_0.228602|0_0.228961|15_0.229266|30_0.229503|45_0.229666|60_0.229753|75_0.229762|90_0.229692|105_0.229545|120_0.229323|135_0.229033|
[DEBUG] 4184 -135_0.236941|-120_0.236959|-105_0.237024|-90_0.237108|-75_0.237211|-60_0.237352|-45_0.237551|-30_0.237819|-15_0.228602|0_0.228961|15_0.229266|30_0.229503|45_0.229666|60_0.229753|75_0.229762|90_0.229692|105_0.229545|120_0.229323|135_0.229033|
[DEBUG] 4185 -135_0.236941|-120_0.236959|-105_0.237024|-90_0.237108|-75_0.237211|-60_0.237352|-45_0.237551|-30_0.237819|-15_0.228602|0_0.228961|15_0.229266|30_0.229503|45_0.229666|60_0.229753|75_0.229762|90_0.229692|105_0.229545|120_0.229323|135_0.229033|
[DEBUG] 4186 -135_0.237029|-120_0.237053|-105_0.237114|-90_0.237184|-75_0.237268|-60_0.23739|-45_0.237577|-30_0.23784|-15_0.228655|0_0.229012|15_0.229314|30_0.22955|45_0.229712|60_0.229799|75_0.229808|90_0.229739|105_0.229593|120_0.229374|135_0.229086|
[DEBUG] 4187 -135_0.237029|-120_0.237053|-105_0.237114|-90_0.237184|-75_0.237268|-60_0.23739|-45_0.237577|-30_0.23784|-15_0.228655|0_0.229012|15_0.229314|30_0.22955|45_0.229712|60_0.229799|75_0.229808|90_0.229739|105_0.229593|120_0.229374|135_0.229086|
[DEBUG] 4188 -135_0.237029|-120_0.237053|-105_0.237114|-90_0.237184|-75_0.237268|-60_0.23739|-45_0.237577|-30_0.23784|-15_0.228655|0_0.229012|15_0.229314|30_0.22955|45_0.229712|60_0.229799|75_0.229808|90_0.229739|105_0.229593|120_0.229374|135_0.229086|
[DEBUG] 4189 -135_0.237001|-120_0.236993|-105_0.237043|-90_0.237131|-75_0.237253|-60_0.23742|-45_0.237646|-30_0.237934|-15_0.228647|0_0.229004|15_0.229305|30_0.22954|45_0.229701|60_0.229786|75_0.229793|90_0.229723|105_0.229575|120_0.229354|135_0.229064|
[DEBUG] 4190 -135_0.237001|-120_0.236993|-105_0.237043|-90_0.237131|-75_0.237253|-60_0.23742|-45_0.237646|-30_0.237934|-15_0.228647|0_0.229004|15_0.229305|30_0.22954|45_0.229701|60_0.229786|75_0.229793|90_0.229723|105_0.229575|120_0.229354|135_0.229064|
[DEBUG] 4191 -135_0.237001|-120_0.236993|-105_0.237043|-90_0.237131|-75_0.237253|-60_0.23742|-45_0.237646|-30_0.237934|-15_0.228647|0_0.229004|15_0.229305|30_0.22954|45_0.229701|60_0.229786|75_0.229793|90_0.229723|105_0.229575|120_0.229354|135_0.229064|
[DEBUG] 4192 -135_0.237156|-120_0.237119|-105_0.237147|-90_0.237226|-75_0.237355|-60_0.237541|-45_0.237789|-30_0.238098|-15_0.228633|0_0.228992|15_0.229295|30_0.229532|45_0.229696|60_0.229784|75_0.229794|90_0.229726|105_0.229581|120_0.229362|135_0.229074|
[DEBUG] 4193 -135_0.237156|-120_0.237119|-105_0.237147|-90_0.237226|-75_0.237355|-60_0.237541|-45_0.237789|-30_0.238098|-15_0.228633|0_0.228992|15_0.229295|30_0.229532|45_0.229696|60_0.229784|75_0.229794|90_0.229726|105_0.229581|120_0.229362|135_0.229074|
[DEBUG] 4194 -135_0.237156|-120_0.237119|-105_0.237147|-90_0.237226|-75_0.237355|-60_0.237541|-45_0.237789|-30_0.238098|-15_0.228633|0_0.228992|15_0.229295|30_0.229532|45_0.229696|60_0.229784|75_0.229794|90_0.229726|105_0.229581|120_0.229362|135_0.229074|
